"編號","品種","年齡","毛色","體型","性別","絕育狀況","醫療情形","性格/特質","照片"
"543-224","混種","約98年生","黑肢黃色 短毛","中型 約16公斤","公","已絕育","已注射預防針","友善 親人","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/6a926dca207af721fb1613755777f0444391e524.jpg"
"542-618","混種","約104.1年生","黑色 短毛","未來應為中型 約4.5公斤","公","已絕育","已注射預防針","友善 親人","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/e6f1e7e8d19a57ab0d2498397afaea0a5b5d0e0d.jpg"
"541-219","混種","約103年生","黑色 短毛","中型 約15公斤","母","已絕育","","友善 親人","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/48059690cf42af994be9367b51e5e9ea05415c08.jpg"
"540-648","貴賓","約98年生","棕黃色 捲毛","小型 約4公斤","母","已絕育","左眼角膜潰瘍","友善 親人","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/695d57363cd7dcbbfb57ec9cf2d8328f9db0782b.jpg"
"539-153","狼犬","約97年生","黑黃 短毛","大型 約25公斤","公","已絕育","已注射預防針","友善 親人","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/185a5ed65f4038aa26a7b9939c5e19b10ba30c05.jpg"
"538-540","混種","約104年1月生","黑 中長毛","目前為小型 約2.1公斤","母","已絕育","已注射預防針","活潑 親人","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/658a210599fdea4b52c5650efdf126d9823b52d0.jpg"
"537-503","混種","約103年12月生","黑黃 短毛","目前為小型 約3.6公斤","母","已絕育","已注射預防針","活潑 親人","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/f9fc5f652f0cb252e2324bd2f86c15d5ba7c71e9.jpg"
"535-612","臘腸","約103年生","黃色 短毛","小型 約6公斤","公","已絕育","","會顧家 兇人","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/bdd7fda7af343df7a897c55b234a108c539a025b.jpg"
"534-537","混種(瑪爾+貴賓)","約99年生","黃色 中長毛","小型 約5.5公斤","母","已絕育","已注射預防針","活潑 親人","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/7de37347573619afbe700e12d3a5c83d2e41cad8.jpg"
"533-246","混種","約97年生","黑白 短毛","中型 約13公斤","母","已絕育","已注射預防針","害羞 膽小","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/9258b298b84cd3145ae21d0e2bc652c9a4f56f41.jpg"
"528-059","混種","約102年生","黑 短毛","中型偏大 約17.5公斤","公","已絕育","","恐懼 易緊張","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/646ca27af92eb0bb3b87a149b949c691bbf5f224.jpg"
"527-002(ㄚ公)","混種","約94年生","黑虎斑紋 短毛","中型偏大 約20公斤","公","未絕育","已注射預防針","溫和 友善 親人","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/6f4ec870823620b56cb8026ed0f3ba06fc1eedd9.jpg"
"526-089","混種","約103年生","黃色 短毛","中型 約6公斤","母","已絕育","","害羞 友善","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/c6c82378d156d353d6686ee2ce1179dbfa8d0f19.jpg"
