id,病歷號碼,毛　　色,體　　型,品　　種,性　　別,年　　齡,籠　　號,進所原因,拾獲地點,收容日期,開放認養日期,晶片號碼,頸牌號碼,相片網址,資料來源
49324,中和2015051512 ,橘虎斑 短 ,大型,混種,公,成,a1 ,陳情案,三峽區中正路二段370巷,2015-05-14,2015-05-15,***,***,http://www.ahiqo.ntpc.gov.tw/upload/diagnosis/263/14316594641125.JPG,http://www.ahiqo.ntpc.gov.tw/adopt.php?id=49324&flag=0%0A
49323,中和2015051511 ,虎斑色 短 ,大型,混種,公,成,a1 ,陳情案,三峽區介壽路三段200巷,2015-05-14,2015-05-15,***,***,http://www.ahiqo.ntpc.gov.tw/upload/diagnosis/263/14316593841625.JPG,http://www.ahiqo.ntpc.gov.tw/adopt.php?id=49323&flag=0%0A
49306,板橋2015051405 ,黑色 短 ,中型,混種,公,成,A2 ,陳情案,三峽區白雞路40號民義國小,2015-05-14,2015-05-14,***,***,http://www.ahiqo.ntpc.gov.tw/upload/diagnosis/262/14315963621385.JPG,http://www.ahiqo.ntpc.gov.tw/adopt.php?id=49306&flag=0%0A
49302,中和2015051404 ,黑色 短 ,中型,混種,母,成,1040514f210 ,陳情案,中和區明禮街11巷,2015-05-14,2015-05-14,***,***,http://www.ahiqo.ntpc.gov.tw/upload/diagnosis/263/14315948091499.JPG,http://www.ahiqo.ntpc.gov.tw/adopt.php?id=49302&flag=0%0A
49301,新莊2015051410 ,白底虎斑 短 ,小型,混種,公,成,貓區 ,陳情案,樹林區武林街15號,2015-05-14,2015-05-26,***,***,http://www.ahiqo.ntpc.gov.tw/upload/diagnosis/261/14315947861016.jpg,http://www.ahiqo.ntpc.gov.tw/adopt.php?id=49301&flag=0%0A
49300,新莊2015051409 ,虎斑色 短 ,小型,混種,母,成,貓區 ,陳情案,樹林區武林街15號,2015-05-14,2015-05-26,***,***,http://www.ahiqo.ntpc.gov.tw/upload/diagnosis/261/14315947301629.jpg,http://www.ahiqo.ntpc.gov.tw/adopt.php?id=49300&flag=0%0A
49299,新莊2015051408 ,白底虎斑 短 ,小型,混種,公,成,貓區 ,陳情案,板橋區中山路2段443巷12號,2015-05-14,2015-05-26,***,***,http://www.ahiqo.ntpc.gov.tw/upload/diagnosis/261/14315946571060.jpg,http://www.ahiqo.ntpc.gov.tw/adopt.php?id=49299&flag=0%0A
49294,板橋2015051403 ,黃色 短 ,小型,混種,母,成,C區 ,飼主認養後退回,板橋區,2015-05-14,2015-05-14,900138000489***,***,http://www.ahiqo.ntpc.gov.tw/upload/diagnosis/262/14315914931843.JPG,http://www.ahiqo.ntpc.gov.tw/adopt.php?id=49294&flag=0%0A
49292,新莊2015051403 ,虎斑色 短 ,小型,混種,母,成,貓區 ,陳情案,樹林區光興街146巷口,2015-05-14,2015-05-26,***,***,http://www.ahiqo.ntpc.gov.tw/upload/diagnosis/261/14315877581050.jpg,http://www.ahiqo.ntpc.gov.tw/adopt.php?id=49292&flag=0%0A
49291,八里2015051404 ,黑白色 短 ,小型,混種,略,幼,貓 ,陳情案,泰山區新五路一段,2015-05-14,,***,***,http://www.ahiqo.ntpc.gov.tw/upload/diagnosis/259/14315865751326.jpg,http://www.ahiqo.ntpc.gov.tw/adopt.php?id=49291&flag=0%0A
49290,五股2015051409 ,黑黃色 短 ,中型,混種,略,幼,1貓 ,陳情案,林口區麗園一街,2015-05-14,2015-05-26,***,***,http://www.ahiqo.ntpc.gov.tw/upload/diagnosis/260/14315866451265.jpg,http://www.ahiqo.ntpc.gov.tw/adopt.php?id=49290&flag=0%0A
49289,五股2015051408 ,虎斑色 短 ,中型,混種,母,幼,1幼 ,陳情案,五股區凌雲路,2015-05-14,2015-05-26,***,***,http://www.ahiqo.ntpc.gov.tw/upload/diagnosis/260/14315864571834.jpg,http://www.ahiqo.ntpc.gov.tw/adopt.php?id=49289&flag=0%0A
49286,八里2015051403 ,黃白色 短 ,小型,混種,略,幼,貓 ,陳情案,泰山區新五路一段,2015-05-14,,***,***,http://www.ahiqo.ntpc.gov.tw/upload/diagnosis/259/14315863181332.jpg,http://www.ahiqo.ntpc.gov.tw/adopt.php?id=49286&flag=0%0A
