id,動物編號,進所日期,捕捉地點,進所原因,動物性別,動物毛色,動物品種,動物體型,是否結紮,晶片號碼,棄養原因,動物紀錄,收容籠位,處理結果,圖片
111115,(貓)104I0001,2015/9/1,竹東鎮三重路,政府捕捉,--,虎斑(灰)、虎斑白、虎斑紋為主色系,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,貓,****,http://animalprotection.hchg.gov.tw/sca/Animals/112456.JPG
111116,(貓)104I0002,2015/9/1,竹東鎮三重路,政府捕捉,--,虎斑(灰)、虎斑白、虎斑紋為主色系,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,貓,****,http://animalprotection.hchg.gov.tw/sca/Animals/112457.JPG
111117,(貓)104I0003,2015/9/1,竹東鎮三重路,政府捕捉,--,虎斑(灰)、虎斑白、虎斑紋為主色系,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,貓,****,http://animalprotection.hchg.gov.tw/sca/Animals/112458.JPG
111118,(貓)104I0004,2015/9/1,竹東鎮三重路,政府捕捉,--,虎斑(灰)、虎斑白、虎斑紋為主色系,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,貓,****,http://animalprotection.hchg.gov.tw/sca/Animals/112459.JPG
111119,(貓)104I0005,2015/9/1,竹東鎮三重路,政府捕捉,--,虎斑(灰)、虎斑白、虎斑紋為主色系,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,貓,民眾領養,http://animalprotection.hchg.gov.tw/sca/Animals/112460.JPG
111120,(犬)104I0006,2015/9/1,竹北市文愛街,政府捕捉,公,黑,混(梗犬),小(成年),,無晶片,,友善、親人活潑好動,D2,****,http://animalprotection.hchg.gov.tw/sca/Animals/112461.JPG
111121,(犬)104I0007,2015/9/1,竹北市鳳岡路,民眾送交,母,黃、米、咖啡、棕色系,混(臘腸犬),小(成年),,無晶片,,友善、親人活潑好動癱瘓,F1,****,http://animalprotection.hchg.gov.tw/sca/Animals/112463.JPG
111122,(犬)104I0008,2015/9/1,其他桃園慈光街,政府捕捉,母,黃、米、咖啡、棕色系,純(柴犬),中(成年),,135726697A,搬家、空間不適,,1,****,http://animalprotection.hchg.gov.tw/sca/Animals/112466.JPG
111123,(犬)104I0009,2015/9/1,竹北市嘉興路,認養後退回,公,黑白、黑斑、白斑色系,混(不明),小(成年),,無晶片,不會教養,喜愛亂叫會咬人,C3,****,http://animalprotection.hchg.gov.tw/sca/Animals/112468.JPG
111124,(貓)104I0010,2015/9/1,竹北市,政府捕捉,--,虎斑(灰)、虎斑白、虎斑紋為主色系,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,貓,****,http://animalprotection.hchg.gov.tw/sca/Animals/112470.JPG
111125,(貓)104I0011,2015/9/1,竹北市,政府捕捉,--,虎斑(灰)、虎斑白、虎斑紋為主色系,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,貓,****,http://animalprotection.hchg.gov.tw/sca/Animals/112471.JPG
111126,(貓)104I0012,2015/9/1,竹北市,政府捕捉,--,虎斑(灰)、虎斑白、虎斑紋為主色系,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,貓,****,http://animalprotection.hchg.gov.tw/sca/Animals/112472.JPG
111127,(貓)104I0013,2015/9/1,竹北市,政府捕捉,--,虎斑(灰)、虎斑白、虎斑紋為主色系,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,貓,****,http://animalprotection.hchg.gov.tw/sca/Animals/112473.JPG
111128,(貓)104I0014,2015/9/1,竹北市,政府捕捉,--,虎斑(灰)、虎斑白、虎斑紋為主色系,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,貓,****,http://animalprotection.hchg.gov.tw/sca/Animals/112474.JPG
111093,(犬)104H0114,2015/8/31,竹北市嘉興路,政府捕捉,母,黃、米、咖啡、棕色系,混(不明),中(成年),,無晶片,,,25,****,http://animalprotection.hchg.gov.tw/sca/Animals/112434.JPG
111094,(犬)104H0115,2015/8/31,竹北市嘉興路,政府捕捉,母,黃、米、咖啡、棕色系,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,A3,民眾領養,http://animalprotection.hchg.gov.tw/sca/Animals/112435.JPG
