收容編號,進所日期,捕獲鄉鎮市,進所原因,年齡,性別,毛色,品種,體型,絕育,晶片號碼,位置,籠舍,照片連結,網頁連結
W030401-05,103年04月01日,安南區,本所捕獲,3-7歲,母,黃,混種狗,中,,無,臺南市動物之家-灣裡站,D-6,http://asms.wsn.com.tw/TN/Upload/546785654/0B18423BBF8948509CCCB6E31D64F427.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=90&fn=Photo&tn=SheltersReco
W040522-12,104年05月22日,東區  後甲里中華東路一段,本所捕獲,1-3 歲,母,黑,混種狗,中,,無,臺南市動物之家-灣裡站,D-5,http://asms.wsn.com.tw/TN/Upload/W040522-12/3A8160A2D67F4B90937BE3E71604DF07.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=3203&fn=Photo&tn=SheltersReco
S040522-14,104年05月22日,官田區,民眾送交,3月齡以下,母,黑白,混種狗,小,否,無,臺南市動物之家-善化站,P區-P8,http://asms.wsn.com.tw/TN/Upload/S040522-14/977D9BFDBDF1424A9AAB6930C8423979.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=3224&fn=Photo&tn=SheltersReco
W04C052507,104年05月25日,新化區  中興路,民眾送交,3月齡以下,公,黃,混種貓,小,,無,臺南市動物之家-灣裡站,CA-6-下層,http://asms.wsn.com.tw/TN/Upload/W04C052507/5C7A2A73680C48CAA0FAA1EA7A2B3999.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=3242&fn=Photo&tn=SheltersReco
W04C052606,104年05月26日,南區  鯤鯓路,民眾送交,3月齡以下,母,虎斑,混種貓,小,,無,臺南市動物之家-灣裡站,CA-1-下層,http://asms.wsn.com.tw/TN/Upload/W04C052606/8845497C8B334F6FB415D78C4588C4C3.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=3269&fn=Photo&tn=SheltersReco
S040526-02,104年05月26日,學甲區,本所捕獲,3月齡以下,公,虎斑,混種狗,大,否,無,臺南市動物之家-善化站,C區-C6,http://asms.wsn.com.tw/TN/Upload/S040526-02/599A1CA213234E91987A6C308E45E7B3.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=3275&fn=Photo&tn=SheltersReco
S040527-04,104年05月27日,麻豆區,民眾棄養,1-3 歲,公,黑,混種狗,中,否,90013800051○○○○,臺南市動物之家-善化站,B區-B12,http://asms.wsn.com.tw/TN/Upload/S040527-04/72D4C2B6AB8046F1802037FB2DB82F9B.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=3305&fn=Photo&tn=SheltersReco
W040527-02,104年05月27日,安平區  西門里安北路,本所捕獲,1-3 歲,母,白,混種狗,中,,無,臺南市動物之家-灣裡站,D-13,http://asms.wsn.com.tw/TN/Upload/W040527-02/5438A8166F5C41248E282CC55AB6EA40.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=3286&fn=Photo&tn=SheltersReco
S04C052704,104年05月27日,大內區,民眾送交,3月齡以下,母,虎斑,混種貓,小,否,無,臺南市動物之家-善化站,G區 -G1,http://asms.wsn.com.tw/TN/Upload/S04C052704/00E4C8291D684729A602CACBF0FFC9D7.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=3311&fn=Photo&tn=SheltersReco
S04C052701,104年05月27日,新市區,民眾送交,3月齡以下,母,虎斑,混種貓,中,否,無,臺南市動物之家-善化站,G區 -G9,http://asms.wsn.com.tw/TN/Upload/S04C052701/2267790CCB7549B7A8E7264C91496186.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=3308&fn=Photo&tn=SheltersReco
S04C052706,104年05月27日,大內區,民眾送交,3月齡以下,母,虎斑,混種貓,小,否,無,臺南市動物之家-善化站,G區 -G1,http://asms.wsn.com.tw/TN/Upload/S04C052706/AF15CF524C3C4C659DFCFA857B932048.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=3313&fn=Photo&tn=SheltersReco
S040527-06,104年05月27日,新市區,民眾送交,1-3 歲,母,黑,混種狗,中,否,無,臺南市動物之家-善化站,D區-D13,http://asms.wsn.com.tw/TN/Upload/S040527-06/D4918E3BA14B4F96918F572F752242D0.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=3307&fn=Photo&tn=SheltersReco
S04C052705,104年05月27日,大內區,民眾送交,3月齡以下,母,虎斑,混種貓,小,否,無,臺南市動物之家-善化站,G區 -G1,http://asms.wsn.com.tw/TN/Upload/S04C052705/6124BF53423C4521938B7ECDDE6C7630.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=3312&fn=Photo&tn=SheltersReco
S04C052702,104年05月27日,大內區,民眾送交,3月齡以下,公,虎斑,混種貓,小,否,無,臺南市動物之家-善化站,G區 -G1,http://asms.wsn.com.tw/TN/Upload/S04C052702/442468898211479A9C9A53C9F6E81E8A.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=3309&fn=Photo&tn=SheltersReco
S040527-02,104年05月27日,學甲區,本所捕獲,1-3 歲,母,黑,混種狗,中,否,無,臺南市動物之家-善化站,B區-B4,http://asms.wsn.com.tw/TN/Upload/S040527-02/49A94221AE284E579C9D5B15E125B1AC.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=3303&fn=Photo&tn=SheltersReco
S040527-03,104年05月27日,學甲區,本所捕獲,1-3 歲,母,黃,混種狗,大,否,無,臺南市動物之家-善化站,D區-D14,http://asms.wsn.com.tw/TN/Upload/S040527-03/9A164CC2FC104FCE8803E2CA97D37A7A.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=3304&fn=Photo&tn=SheltersReco
S04C052703,104年05月27日,大內區,民眾送交,3月齡以下,母,虎斑,混種貓,小,否,無,臺南市動物之家-善化站,G區 -G1,http://asms.wsn.com.tw/TN/Upload/S04C052703/B079B8F21E924E5C9BFB93C84A19B097.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=3310&fn=Photo&tn=SheltersReco
W040527-04,104年05月27日,安南區  安南區體育場橄欖球場,本所捕獲,1-3 歲,母,黑白胸,混種狗,中,,99000000002○○○○,臺南市動物之家-灣裡站,C-13,http://asms.wsn.com.tw/TN/Upload/W040527-04/EC0F63774EF64EB0B074561019250BAD.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=3288&fn=Photo&tn=SheltersReco
S040527-05,104年05月27日,安南區,民眾棄養,1-3 歲,公,黑黃,混種狗,大,否,90013800037○○○○,臺南市動物之家-善化站,A區 -A11,http://asms.wsn.com.tw/TN/Upload/S040527-05/A1CBC63F349D429B80CF718C76A1B56E.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=3306&fn=Photo&tn=SheltersReco
