編號,拾獲地點,送交單位,動物類別,品種,體型,毛色,動物性別,公告時間,晶片號碼,備註
1040107-01,金城鎮,清潔隊,犬,Mix,中,白,母,01.07-01.18,無,
1040107-02,金城鎮,清潔隊,犬,Mix,幼犬,黑,公,01.07-01.18,無,
1040107-03,金城鎮,清潔隊,犬,Mix,幼犬,黑棕,母,01.07-01.18,無,
1040107-04,金湖鎮,清潔隊,犬,Mix,大,虎斑,公,01.07-01.18,無,頸部受傷
1040107-C01,金沙鎮,清潔隊,貓,Mix,成貓,褐虎斑,公,01.07-01.18,無,
1040107-C02,金沙鎮,清潔隊,貓,Mix,成貓,黃虎斑,公,01.07-01.18,無,
1040107-C03,金沙鎮,清潔隊,貓,Mix,成貓,黑,公,01.07-01.18,無,
1040107-C04,金湖鎮,清潔隊,貓,Mix,成貓,白灰,母,01.07-01.18,無,
1040107-C05,金湖鎮,清潔隊,貓,Mix,成貓,黑,母,01.07-01.18,無,
1040107-C06,金湖鎮,清潔隊,貓,Mix,成貓,褐虎斑,母,01.07-01.18,無,
1040107-C07,金湖鎮,清潔隊,貓,Mix,成貓,褐虎斑,母,01.07-01.18,無,
1040107-C08,金湖鎮,清潔隊,貓,Mix,幼貓,灰虎斑,母,01.07-01.18,無,
1040107-C09,金湖鎮,清潔隊,貓,Mix,幼貓,黃虎斑,母,01.07-01.18,無,
1040107-C10,金湖鎮,清潔隊,貓,Mix,幼貓,黃虎斑,母,01.07-01.18,無,
