編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1040421-01,金沙鎮,清潔隊,犬,Mix,成,大,黃,母,04.21-05.02,無,
1040421-02,金城鎮,清潔隊,犬,貴賓,成,中,奶油,公,04.21-05.02,900128000403370,
1040421-03,金城鎮,清潔隊,犬,Mix,幼,小,黃,公,04.21-05.02,無,
1040421-04,金城鎮,清潔隊,犬,Mix,幼,小,黃黑,母,04.21-05.02,無,
1040421-05,金湖鎮,清潔隊,犬,Mix,成,大,棕,母,04.21-05.02,無,
1040421-06,金湖鎮,清潔隊,犬,Mix,成,大,米黃,母,04.21-05.02,無,
1040421-07,金湖鎮,清潔隊,犬,Mix,幼,小,黑白,公,04.21-05.02,無,
1040421-08,金湖鎮,清潔隊,犬,Mix,幼,小,黑,母,04.21-05.02,無,
1040421-09,金湖鎮,清潔隊,犬,Mix,幼,小,白黑,母,04.21-05.02,無,
1040421-10,金湖鎮,清潔隊,犬,Mix,幼,小,白黑,母,04.21-05.02,無,
