編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1030603-01,金城鎮,清潔隊,犬,Mix,,中,黃,母,06.05-06.16,無,
1030603-02,金湖鎮,清潔隊,犬,Mix,,幼犬,黑,母,06.05-06.16,無,
1030603-03,金湖鎮,清潔隊,犬,Mix,,幼犬,黑,母,06.05-06.16,無,
1030603-04,金湖鎮,清潔隊,犬,Mix,,幼犬,黑,母,06.05-06.16,無,
1030603-05,金湖鎮,清潔隊,犬,Mix,,幼犬,黑,母,06.05-06.16,無,
1030603-06,金湖鎮,清潔隊,犬,Mix,,幼犬,黑,母,06.05-06.16,無,
1030603-07,金湖鎮,清潔隊,犬,Mix,,幼犬,黑,母,06.05-06.16,無,
1030604-01,金沙鎮,清潔隊,犬,Mix,,幼犬,黃,公,06.05-06.16,無,
1030604-02,烈嶼鄉,清潔隊,犬,Mix,,中（幼）,米白,公,06.05-06.16,無,
1030604-03,金湖鎮,清潔隊,犬,Mix,,中（幼）,黑黃,公,06.05-06.16,無,
1030606-01,金湖鎮,清潔隊,犬,Mix,,大,棕,公,06.10-06.21,無,
1030606-02,金湖鎮,清潔隊,犬,Mix,,大,米黃,公,06.10-06.21,無,
1030606-03,金湖鎮,清潔隊,犬,Mix,,中,黑,公,06.10-06.21,無,
1030606-04,金湖鎮,清潔隊,犬,Mix,,大,白,母,06.10-06.21,無,
1030609-01,金寧鄉,清潔隊,犬,Mix,,大,棕黑,公,06.10-06.21,無,
1030610-01,金沙鎮,清潔隊,犬,Mix,,大,黑棕,公,06.10-06.21,無,
1030610-02,金沙鎮,清潔隊,犬,Mix,,大,黃,公,06.10-06.21,無,
1030613-01,金沙鎮,清潔隊,犬,Mix,,大,棕,公,06.13-06.24,無,
1030613-02,金城鎮,清潔隊,犬,貴賓,,中,紅棕,公,06.13-06.24,999000000388211,
1030613-03,金城鎮,清潔隊,犬,Mix,,中,棕,公,06.13-06.24,無,
1030613-04,金湖鎮,清潔隊,犬,Mix,,大,棕白,公,06.13-06.24,無,
1030616-01,金城鎮,清潔隊,犬,Mix,,大,黑,公,06.13-06.24,無,
1030616-02,金城鎮,清潔隊,犬,Mix,,幼犬,米黃,公,06.13-06.24,無,
1030625-01,烈嶼鄉,清潔隊,犬,Mix,,幼犬,黑白,公,06.25-07.06,無,
1030625-02,金城鎮,清潔隊,犬,Mix,,大,黃,公,06.25-07.06,無,
1030626-01,金城鎮,清潔隊,犬,Mix,,幼犬,黑,公,06.26-07.07,無,
1030626-02,金城鎮,清潔隊,犬,Mix,,幼犬,虎斑,公,06.26-07.07,無,
1030626-03,金城鎮,清潔隊,犬,Mix,,幼犬,黃褐,公,06.26-07.07,無,
1030626-04,金城鎮,清潔隊,犬,Mix,,幼犬,淡灰,母,06.26-07.07,無,
1030627-01,金沙鎮,金防部,犬,Mix,,成犬,黑棕,母,06.27-07.08,900138000493800,
1030627-02,金沙鎮,金防部,犬,Mix,,中,黑棕,公,06.27-07.08,900138000493720,
1030630-01,金沙鎮,清潔隊,犬,Mix,,中,黑,母,07.02-07.13,無,
1030630-02,金沙鎮,清潔隊,犬,Mix,,小,灰褐,母,07.02-07.13,無,
1030630-03,金沙鎮,清潔隊,犬,Mix,,幼犬,米黃,公,07.02-07.13,無,
1030630-04,金沙鎮,清潔隊,犬,Mix,,幼犬,米黃,公,07.02-07.13,無,
1030630-05,金寧鄉,清潔隊,犬,Mix,,大,黃褐,母,07.02-07.13,無,
1030701-01,金城鎮,清潔隊,犬,Mix,,大,黃,公,07.02-07.13,無,
1030701-02,金城鎮,清潔隊,犬,Mix,,幼犬,黑,公,07.02-07.13,無,
1030702-01,金沙鎮,清潔隊,犬,Mix,,幼犬,白,公,07.02-07.13,無,
1030702-02,金沙鎮,清潔隊,犬,Mix,,幼犬,棕,公,07.02-07.13,無,
1030702-03,金沙鎮,清潔隊,犬,Mix,,幼犬,黑,母,07.02-07.13,無,
1030707-01,金湖鎮,清潔隊,犬,Mix,,大,黑灰,公,07.07-07.18,無,
1030707-02,金寧鄉,清潔隊,犬,Mix,,大,黑,公,07.07-07.18,無,
